"Name","Labels"
"S0001.wav","Filler|Speech"
"S0002.wav","Inside, small room|Laughter|Speech|Telephone"
"S0003.wav","Filler|Laughter|Sneeze|Speech"
"S0004.wav","Filler|Speech"
"S0005.wav","Laughter|Sneeze|Speech"
"S0006.wav","Filler|Laughter|Speech"
"S0007.wav","Filler|Sniff|Speech"
"S0008.wav","Filler|Speech"
"S0009.wav","Laughter|Speech"
"S0010.wav","Laughter|Sniff|Speech"
"S0011.wav","Laughter|Speech"
"S0012.wav","Laughter|Speech"
"S0013.wav","Laughter|Speech"
"S0014.wav","Laughter|Speech"
"S0015.wav","Laughter|Sniff|Speech|Telephone"
"S0016.wav","Laughter|Sneeze|Speech|Telephone"
"S0017.wav","Laughter|Sniff|Speech"
"S0018.wav","Filler|Speech"
"S0019.wav","Filler|Speech|Telephone"
"S0020.wav","Filler|Laughter|Sneeze|Speech|Telephone"
"S0021.wav","Laughter|Speech|Telephone"
"S0022.wav","Filler|Sneeze|Speech"
"S0023.wav","Laughter|Sniff|Speech"
"S0024.wav","Laughter|Speech|Telephone"
"S0025.wav","Laughter|Sniff|Speech|Telephone"
"S0026.wav","Laughter|Sneeze|Speech"
"S0027.wav","Laughter|Sneeze|Speech"
"S0028.wav","Filler|Speech|Telephone"
"S0029.wav","Filler|Speech|Telephone"
"S0030.wav","Filler|Speech"
"S0031.wav","Laughter|Speech|Telephone"
"S0032.wav","Laughter"
"S0033.wav","Filler|Laughter|Speech"
"S0034.wav","Filler|Sniff|Speech"
"S0035.wav","Filler|Speech"
"S0036.wav","Filler|Speech"
"S0037.wav","Filler|Speech"
"S0038.wav","Filler|Laughter|Speech"
"S0039.wav","Filler|Speech"
"S0040.wav","Clicking|Filler|Speech"
"S0041.wav","Filler|Speech"
"S0042.wav","Filler|Speech"
"S0043.wav","Filler|Speech"
"S0044.wav","Filler|Speech"
"S0045.wav","Filler|Sniff|Speech"
"S0046.wav","Clicking|Filler|Laughter|Speech"
"S0047.wav","Clicking|Filler|Speech"
"S0048.wav","Filler|Speech"
"S0049.wav","Filler|Speech"
"S0050.wav","Cricket|Filler|Laughter|Insect|Speech"
"S0051.wav","Clicking|Filler|Speech"
"S0052.wav","Laughter|Speech"
"S0053.wav","Laughter|Speech"
"S0054.wav","Filler|Inside, small room|Speech"
"S0055.wav","Filler|Speech|Telephone"
"S0056.wav","Filler|Sniff|Speech"
"S0057.wav","Filler|Speech"
"S0058.wav","Filler|Speech"
"S0059.wav","Laughter|Sniff|Speech"
"S0060.wav","Filler|Inside, small room|Speech|Telephone"
"S0061.wav","Filler|Speech|Telephone"
"S0062.wav","Clicking|Filler|Inside, small room|Speech"
"S0063.wav","Filler|Inside, small room|Speech|Telephone"
"S0064.wav","Filler|Speech"
"S0065.wav","Filler|Speech"
"S0066.wav","Laughter|Sniff|Speech|Telephone"
"S0067.wav","Laughter|Sniff|Speech"
"S0068.wav","Filler|Patter|Sniff|Speech|Telephone"
"S0069.wav","Filler|Inside, small room|Speech"
"S0070.wav","Filler|Narration, monologue|Speech"
"S0071.wav","Laughter|Sniff|Speech"
"S0072.wav","Filler|Sniff|Speech"
"S0073.wav","Filler|Speech"
"S0074.wav","Filler|Narration, monologue|Speech"
"S0075.wav","Filler|Narration, monologue|Speech"
"S0076.wav","Filler|Male speech, man speaking|Narration, monologue|Speech"
"S0077.wav","Filler|Speech"
"S0078.wav","Filler|Male speech, man speaking|Narration, monologue|Speech"
"S0079.wav","Filler|Sniff|Speech|Telephone"
"S0080.wav","Filler|Narration, monologue|Speech|Telephone"
"S0081.wav","Filler|Narration, monologue|Speech"
"S0082.wav","Filler|Narration, monologue|Speech|Speech synthesizer"
"S0083.wav","Filler|Narration, monologue|Speech"
"S0084.wav","Filler|Sniff|Speech"
"S0085.wav","Burping, eructation|Filler|Speech"
"S0086.wav","Filler|Narration, monologue|Speech"
"S0087.wav","Burping, eructation|Filler|Laughter|Speech"
"S0088.wav","Female speech, woman speaking|Filler|Narration, monologue|Speech|Speech synthesizer"
"S0089.wav","Filler|Narration, monologue|Speech|Speech synthesizer"
"S0090.wav","Laughter|Speech"
"S0091.wav","Filler|Laughter|Speech"
"S0092.wav","Filler|Narration, monologue|Speech|Speech synthesizer"
"S0093.wav","Filler|Narration, monologue|Speech"
"S0094.wav","Filler|Narration, monologue|Speech|Speech synthesizer"
"S0095.wav","Filler|Speech"
"S0096.wav","Filler|Male speech, man speaking|Narration, monologue|Speech|Speech synthesizer"
"S0097.wav","Burping, eructation|Filler|Speech"
"S0098.wav","Filler|Laughter|Speech"
"S0099.wav","Filler|Laughter|Speech"
"S0100.wav","Clicking|Filler|Speech"
"S0101.wav","Clicking|Filler|Speech"
"S0102.wav","Burping, eructation|Chewing, mastication|Filler|Laughter|Speech"
"S0103.wav","Laughter|Speech"
"S0104.wav","Laughter|Speech"
"S0105.wav","Burping, eructation|Laughter|Speech"
"S0106.wav","Filler|Speech"
"S0107.wav","Filler|Speech"
"S0108.wav","Clicking|Laughter|Speech"
"S0109.wav","Filler|Speech"
"S0110.wav","Filler|Laughter|Insect|Speech"
"S0111.wav","Filler|Speech"
"S0112.wav","Filler|Insect|Speech"
"S0113.wav","Filler|Speech"
"S0114.wav","Filler|Speech"
"S0115.wav","Laughter|Speech"
"S0116.wav","Filler|Speech"
"S0117.wav","Filler|Speech"
"S0118.wav","Filler|Speech"
"S0119.wav","Filler|Laughter|Speech"
"S0120.wav","Cricket|Filler|Insect|Speech"
"S0121.wav","Filler|Speech"
"S0122.wav","Filler|Laughter|Speech"
"S0123.wav","Filler|Speech"
"S0124.wav","Laughter|Sniff|Speech"
"S0125.wav","Laughter|Speech"
"S0126.wav","Filler|Laughter|Speech"
"S0127.wav","Laughter|Speech"
"S0128.wav","Filler|Speech"
"S0129.wav","Laughter|Speech"
"S0130.wav","Laughter|Speech"
"S0131.wav","Clicking|Filler|Insect|Speech"
"S0132.wav","Laughter|Speech"
"S0133.wav","Filler|Sniff|Speech"
"S0134.wav","Laughter|Speech"
"S0135.wav","Humming|Inside, small room|Laughter|Speech"
"S0136.wav","Laughter|Speech"
"S0137.wav","Laughter|Speech"
"S0138.wav","Laughter|Speech"
"S0139.wav","Filler|Speech"
"S0140.wav","Laughter|Speech"
"S0141.wav","Laughter|Speech"
"S0142.wav","Laughter|Speech"
"S0143.wav","Laughter|Sniff|Speech"
"S0144.wav","Laughter|Sniff|Speech"
"S0145.wav","Filler|Sniff|Speech"
"S0146.wav","Laughter|Sniff|Speech"
"S0147.wav","Filler|Laughter|Sniff|Speech"
"S0148.wav","Filler|Narration, monologue|Speech"
"S0149.wav","Filler|Patter|Speech"
"S0150.wav","Filler|Speech"
"S0151.wav","Filler|Laughter|Sniff|Speech"
"S0152.wav","Filler|Narration, monologue|Speech"
"S0153.wav","Laughter|Sniff|Speech"
"S0154.wav","Animal|Cat|Domestic animals, pets|Laughter|Patter|Sniff|Speech"
